2022-05-26 19:31:05,585 | ffb_producer | INFO | User record b'DE000DW2G9Z2' successfully produced to trade-events [0] at offset 184
2022-05-26 19:31:05,601 | ffb_producer | INFO | User record b'DE000KF2VJA3' successfully produced to trade-events [0] at offset 185
2022-05-26 19:31:05,616 | ffb_producer | INFO | User record b'DE000DW014P9' successfully produced to trade-events [0] at offset 186
2022-05-26 19:31:05,632 | ffb_producer | INFO | User record b'DE000HB4C5T0' successfully produced to trade-events [0] at offset 187
2022-05-26 19:31:05,646 | ffb_producer | INFO | User record b'DE000DW12GL2' successfully produced to trade-events [0] at offset 188
2022-05-26 19:31:05,662 | ffb_producer | INFO | User record b'DE000DV9SP07' successfully produced to trade-events [0] at offset 189
2022-05-26 19:31:05,677 | ffb_producer | INFO | User record b'DE000VV2UC15' successfully produced to trade-events [0] at offset 190
2022-05-26 19:31:05,693 | ffb_producer | INFO | User record b'DE000UH7JK65' successfully produced to trade-events [0] at offset 191
2022-05-26 19:31:05,709 | ffb_producer | INFO | User record b'DE000KF2VJA3' successfully produced to trade-events [0] at offset 192
2022-05-26 19:31:05,724 | ffb_producer | INFO | User record b'DE000PD28JF8' successfully produced to trade-events [0] at offset 193
2022-05-26 19:31:05,740 | ffb_producer | INFO | User record b'DE000VP4GC54' successfully produced to trade-events [0] at offset 194
2022-05-26 19:31:05,755 | ffb_producer | INFO | User record b'DE000HG3E3U1' successfully produced to trade-events [0] at offset 195
2022-05-26 19:31:05,771 | ffb_producer | INFO | User record b'DE000KG3LBR2' successfully produced to trade-events [0] at offset 196
2022-05-26 19:31:05,786 | ffb_producer | INFO | User record b'DE000DW1PZM6' successfully produced to trade-events [0] at offset 197
2022-05-26 19:31:05,801 | ffb_producer | INFO | User record b'DE000KE9JNP4' successfully produced to trade-events [0] at offset 198
2022-05-26 19:31:05,816 | ffb_producer | INFO | User record b'DE000KF8JJ70' successfully produced to trade-events [0] at offset 199
2022-05-26 19:31:05,832 | ffb_producer | INFO | User record b'DE000VV2UC15' successfully produced to trade-events [0] at offset 200
2022-05-26 19:31:05,847 | ffb_producer | INFO | User record b'DE000GK2QWE7' successfully produced to trade-events [0] at offset 201
2022-05-26 19:31:05,861 | ffb_producer | INFO | User record b'DE000PP3LAW8' successfully produced to trade-events [0] at offset 202
2022-05-26 19:31:05,878 | ffb_producer | INFO | User record b'CH1187865287' successfully produced to trade-events [0] at offset 203
2022-05-26 19:31:05,893 | ffb_producer | INFO | User record b'DE000PD53NA9' successfully produced to trade-events [0] at offset 204
2022-05-26 19:31:05,909 | ffb_producer | INFO | User record b'DE000DW1PZM6' successfully produced to trade-events [0] at offset 205
2022-05-26 19:31:05,925 | ffb_producer | INFO | User record b'DE000KG3VPN0' successfully produced to trade-events [0] at offset 206
2022-05-26 19:31:05,940 | ffb_producer | INFO | User record b'DE000NG3XN24' successfully produced to trade-events [0] at offset 207
2022-05-26 19:31:05,955 | ffb_producer | INFO | User record b'DE000VV2UC15' successfully produced to trade-events [0] at offset 208
2022-05-26 19:31:05,971 | ffb_producer | INFO | User record b'CH1179145607' successfully produced to trade-events [0] at offset 209
2022-05-26 19:31:05,985 | ffb_producer | INFO | User record b'DE000SH75NX9' successfully produced to trade-events [0] at offset 210
